u,d,s
102.0,2019-02-12,6480
102.0,2019-02-12,2160
102.0,2019-02-12,7776
102.0,2019-02-13,3000
102.0,2019-02-13,3000
102.0,2019-02-13,3500
102.0,2019-02-13,1500
102.0,2019-02-13,5000
102.0,2019-02-13,6480
102.0,2019-02-13,8640
102.0,2019-02-13,7344
102.0,2019-02-13,5980
102.0,2019-02-14,4300
102.0,2019-02-14,9180
102.0,2019-02-14,11340
102.0,2019-02-14,8640
102.0,2019-02-14,5832
102.0,2019-02-14,6800
102.0,2019-02-14,8640
102.0,2019-02-14,5900
102.0,2019-02-14,8640
102.0,2019-02-14,5832
102.0,2019-02-15,6480
102.0,2019-02-15,5400
102.0,2019-02-15,5800
102.0,2019-02-15,3300
102.0,2019-02-15,8016
102.0,2019-02-15,7560
102.0,2019-02-15,9720
102.0,2019-02-15,19980
102.0,2019-02-16,1860
102.0,2019-02-16,8040
102.0,2019-02-16,6480
102.0,2019-02-16,8840
102.0,2019-02-16,5940
102.0,2019-02-16,3000
102.0,2019-02-16,8340
102.0,2019-02-16,5832
102.0,2019-02-16,7776
102.0,2019-02-16,3500
102.0,2019-02-16,2700
102.0,2019-02-16,6480
102.0,2019-02-16,8300
102.0,2019-02-16,3000
102.0,2019-02-18,6800
102.0,2019-02-18,4500
102.0,2019-02-18,3500
102.0,2019-02-18,5300
102.0,2019-02-18,6900
102.0,2019-02-18,5800
102.0,2019-02-18,8300
102.0,2019-02-18,4000
102.0,2019-02-18,6800
102.0,2019-02-19,45360
102.0,2019-02-19,7776
102.0,2019-02-19,10152
102.0,2019-02-19,7560
102.0,2019-02-19,7560
102.0,2019-02-19,5700
102.0,2019-02-20,0
102.0,2019-02-20,9880
102.0,2019-02-20,6232
102.0,2019-02-20,5980
102.0,2019-02-20,8640
102.0,2019-02-20,9072
102.0,2019-02-20,5400
102.0,2019-02-21,0
102.0,2019-02-21,5580
102.0,2019-02-21,6480
102.0,2019-02-21,4900
102.0,2019-02-21,7560
102.0,2019-02-21,7344
102.0,2019-02-21,5660
102.0,2019-02-21,4800
102.0,2019-02-22,6300
102.0,2019-02-22,3500
102.0,2019-02-22,7560
102.0,2019-02-22,7560
102.0,2019-02-22,4900
102.0,2019-02-22,8952
102.0,2019-02-22,7776
102.0,2019-02-22,14300
102.0,2019-02-22,3000
102.0,2019-02-23,2140
102.0,2019-02-23,7776
102.0,2019-02-23,5832
102.0,2019-02-23,2000
102.0,2019-02-23,0
102.0,2019-02-23,7776
102.0,2019-02-23,0
102.0,2019-02-23,5600
102.0,2019-02-23,4900
102.0,2019-02-23,0
102.0,2019-02-23,5832
102.0,2019-02-23,3000
102.0,2019-02-25,4600
102.0,2019-02-25,45000
102.0,2019-02-25,6300
102.0,2019-02-25,7193
102.0,2019-02-25,3500
33.0,2019-02-25,0
33.0,2019-02-25,1370
33.0,2019-02-25,1810
33.0,2019-02-25,17592
102.0,2019-02-25,0
102.0,2019-02-25,10160
102.0,2019-02-25,8640
102.0,2019-02-25,11880
102.0,2019-02-26,8640
102.0,2019-02-26,4580
102.0,2019-02-26,5832
33.0,2019-02-26,76698
102.0,2019-02-26,14040
102.0,2019-02-26,7000
122.0,2019-02-26,0
33.0,2019-02-26,0
33.0,2019-02-26,65000
33.0,2019-02-26,65000
102.0,2019-02-26,6912
102.0,2019-02-26,4500
102.0,2019-02-26,7560
102.0,2019-02-27,3500
102.0,2019-02-27,3500
33.0,2019-02-27,0
102.0,2019-02-27,6100
102.0,2019-02-28,6200
102.0,2019-02-28,7148
102.0,2019-02-28,9272
102.0,2019-02-28,6840
102.0,2019-03-01,6600
102.0,2019-03-01,18360
102.0,2019-03-01,8640
102.0,2019-03-01,4300
102.0,2019-03-01,6380
102.0,2019-03-01,8640
102.0,2019-03-01,5832
102.0,2019-03-02,3500
33.0,2019-03-02,779
33.0,2019-03-02,78945
33.0,2019-03-02,5600
102.0,2019-03-02,7800
102.0,2019-03-02,8640
102.0,2019-03-02,7776
102.0,2019-03-02,3500
102.0,2019-03-02,8640
102.0,2019-03-02,3500
102.0,2019-03-02,8640
102.0,2019-03-02,7256
102.0,2019-03-02,7776
102.0,2019-03-04,8640
102.0,2019-03-04,6480
102.0,2019-03-04,3500
102.0,2019-03-04,7900
102.0,2019-03-04,4100
102.0,2019-03-04,6480
102.0,2019-03-04,6200
102.0,2019-03-04,5184
102.0,2019-03-04,0
102.0,2019-03-04,3780
102.0,2019-03-04,3000
102.0,2019-03-04,864
102.0,2019-03-04,6400
102.0,2019-03-04,4800
102.0,2019-03-04,6800
102.0,2019-03-04,6912
102.0,2019-03-04,7128
102.0,2019-03-05,5700
102.0,2019-03-05,4900
102.0,2019-03-05,8964
102.0,2019-03-05,8964
102.0,2019-03-05,6400
102.0,2019-03-05,8640
102.0,2019-03-05,4900
102.0,2019-03-05,9032
102.0,2019-03-06,7560
102.0,2019-03-06,6800
102.0,2019-03-06,6480
102.0,2019-03-06,6800
102.0,2019-03-06,6480
102.0,2019-03-06,6300
102.0,2019-03-06,3500
102.0,2019-03-06,2700
102.0,2019-03-06,6372
102.0,2019-03-06,8300
33.0,2019-03-07,6132
33.0,2019-03-07,5051
33.0,2019-03-07,3950
33.0,2019-03-07,11647
33.0,2019-03-07,0
102.0,2019-03-07,0
102.0,2019-03-07,8640
102.0,2019-03-07,5832
102.0,2019-03-07,8640
102.0,2019-03-07,7560
102.0,2019-03-07,8640
102.0,2019-03-08,4800
102.0,2019-03-08,0
102.0,2019-03-08,7776
33.0,2019-03-08,234423
33.0,2019-03-08,2366
102.0,2019-03-08,2500
102.0,2019-03-08,3000
102.0,2019-03-08,7560
102.0,2019-03-08,2160
102.0,2019-03-08,6480
102.0,2019-03-08,3500
102.0,2019-03-08,7776
102.0,2019-03-08,6080
102.0,2019-03-09,6480
102.0,2019-03-09,10044
102.0,2019-03-09,6800
102.0,2019-03-09,7560
33.0,2019-03-09,16716
102.0,2019-03-09,6480
102.0,2019-03-09,8300
102.0,2019-03-11,3780
102.0,2019-03-11,7560
102.0,2019-03-11,0
102.0,2019-03-11,8340
102.0,2019-03-11,9288
102.0,2019-03-11,6800
102.0,2019-03-11,5780
102.0,2019-03-11,8540
33.0,2019-03-12,0
102.0,2019-03-12,3000
102.0,2019-03-12,3500
33.0,2019-03-12,50000
33.0,2019-03-12,50000
33.0,2019-03-12,50000
33.0,2019-03-12,50000
33.0,2019-03-12,50000
33.0,2019-03-12,50000
33.0,2019-03-12,50000
33.0,2019-03-12,50000
33.0,2019-03-12,50000
33.0,2019-03-12,50000
33.0,2019-03-12,50000
33.0,2019-03-12,12000
102.0,2019-03-12,4800
102.0,2019-03-12,8640
102.0,2019-03-12,8300
102.0,2019-03-12,5100
102.0,2019-03-12,2160
102.0,2019-03-12,6800
102.0,2019-03-12,6332
102.0,2019-03-12,8000
102.0,2019-03-12,5800
102.0,2019-03-13,6000
33.0,2019-03-13,26000
33.0,2019-03-13,18000
33.0,2019-03-13,13000
33.0,2019-03-13,17500
33.0,2019-03-13,9500
33.0,2019-03-13,4500
33.0,2019-03-13,26000
33.0,2019-03-13,18000
33.0,2019-03-13,13000
33.0,2019-03-13,17500
33.0,2019-03-13,9500
33.0,2019-03-13,4500
33.0,2019-03-13,26000
33.0,2019-03-13,18000
33.0,2019-03-13,13000
33.0,2019-03-13,17500
33.0,2019-03-13,9500
33.0,2019-03-13,4500
33.0,2019-03-13,26500
33.0,2019-03-13,18500
33.0,2019-03-13,13500
33.0,2019-03-13,18000
33.0,2019-03-13,10000
33.0,2019-03-13,5000
33.0,2019-03-13,25500
33.0,2019-03-13,17500
33.0,2019-03-13,12500
33.0,2019-03-13,17000
33.0,2019-03-13,9000
33.0,2019-03-13,4000
33.0,2019-03-13,27000
33.0,2019-03-13,19000
33.0,2019-03-13,14000
33.0,2019-03-13,18500
33.0,2019-03-13,10500
33.0,2019-03-13,5500
33.0,2019-03-13,25500
33.0,2019-03-13,17500
33.0,2019-03-13,12500
33.0,2019-03-13,17000
33.0,2019-03-13,9000
33.0,2019-03-13,4000
33.0,2019-03-13,27500
33.0,2019-03-13,19500
33.0,2019-03-13,14500
33.0,2019-03-13,19000
33.0,2019-03-13,11000
33.0,2019-03-13,6000
33.0,2019-03-13,27300
33.0,2019-03-13,19300
33.0,2019-03-13,14300
33.0,2019-03-13,18800
33.0,2019-03-13,10800
33.0,2019-03-13,5800
33.0,2019-03-13,27000
33.0,2019-03-13,19000
33.0,2019-03-13,14000
33.0,2019-03-13,18500
33.0,2019-03-13,10500
33.0,2019-03-13,5500
33.0,2019-03-13,25900
33.0,2019-03-13,17900
33.0,2019-03-13,12900
33.0,2019-03-13,17400
33.0,2019-03-13,9400
33.0,2019-03-13,4400
33.0,2019-03-13,31000
33.0,2019-03-13,23000
33.0,2019-03-13,18000
33.0,2019-03-13,22500
33.0,2019-03-13,14500
33.0,2019-03-13,9500
102.0,2019-03-13,7776
102.0,2019-03-13,6300
102.0,2019-03-13,7776
102.0,2019-03-13,4900
33.0,2019-03-13,42000
33.0,2019-03-13,43000
33.0,2019-03-13,45000
33.0,2019-03-13,60000
33.0,2019-03-13,43000
33.0,2019-03-13,0
102.0,2019-03-13,4080
102.0,2019-03-13,8640
102.0,2019-03-13,2500
33.0,2019-03-13,42341
33.0,2019-03-13,17341
33.0,2019-03-13,42525
33.0,2019-03-13,17525
33.0,2019-03-13,52941
33.0,2019-03-13,27941
33.0,2019-03-13,106682
33.0,2019-03-13,81682
33.0,2019-03-13,106866
33.0,2019-03-13,81866
33.0,2019-03-13,117282
33.0,2019-03-13,92282
102.0,2019-03-13,0
102.0,2019-03-13,0
102.0,2019-03-14,0
102.0,2019-03-15,8160
102.0,2019-03-15,8640
102.0,2019-03-15,3000
33.0,2019-03-15,15000
33.0,2019-03-15,12000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,45000
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,42400
33.0,2019-03-15,500000
33.0,2019-03-15,500000
33.0,2019-03-15,500000
33.0,2019-03-15,500000
33.0,2019-03-15,500000
33.0,2019-03-15,500000
33.0,2019-03-15,500000
33.0,2019-03-15,500000
102.0,2019-03-15,3400
102.0,2019-03-15,6480
102.0,2019-03-15,6080
102.0,2019-03-15,0
102.0,2019-03-15,5380
33.0,2019-03-15,86966
33.0,2019-03-15,86966
33.0,2019-03-15,86966
33.0,2019-03-15,90566
33.0,2019-03-15,85866
33.0,2019-03-15,84866
102.0,2019-03-15,7000
33.0,2019-03-15,0
102.0,2019-03-15,5000
102.0,2019-03-15,4800
102.0,2019-03-16,4900
102.0,2019-03-16,0
102.0,2019-03-16,0
102.0,2019-03-16,8840
102.0,2019-03-16,5400
102.0,2019-03-16,7776
102.0,2019-03-16,0
102.0,2019-03-16,8640
102.0,2019-03-16,8040
102.0,2019-03-16,5832
102.0,2019-03-16,8664
102.0,2019-03-16,8300
102.0,2019-03-16,8640
102.0,2019-03-16,4900
102.0,2019-03-16,2500
33.0,2019-03-17,1200
182.0,2019-03-18,76443
102.0,2019-03-18,11920
102.0,2019-03-18,8640
33.0,2019-03-18,0
33.0,2019-03-18,8855
102.0,2019-03-18,4580
102.0,2019-03-18,5980
102.0,2019-03-18,6800
102.0,2019-03-18,2160
102.0,2019-03-18,0
102.0,2019-03-18,0
102.0,2019-03-19,0
102.0,2019-03-19,6200
33.0,2019-03-19,0
33.0,2019-03-19,0
33.0,2019-03-19,0
102.0,2019-03-19,7776
102.0,2019-03-19,8640
102.0,2019-03-19,6300
102.0,2019-03-19,7560
102.0,2019-03-19,0
102.0,2019-03-20,3500
102.0,2019-03-20,6480
102.0,2019-03-20,6480
102.0,2019-03-20,3500
102.0,2019-03-20,4700
102.0,2019-03-20,6480
102.0,2019-03-20,7964
102.0,2019-03-20,8640
102.0,2019-03-20,8140
102.0,2019-03-20,0
102.0,2019-03-21,0
102.0,2019-03-21,0
33.0,2019-03-21,6052
33.0,2019-03-21,21000
33.0,2019-03-21,96304552
33.0,2019-03-21,96319500
33.0,2019-03-21,1803
33.0,2019-03-21,16751
33.0,2019-03-21,721
33.0,2019-03-21,15669
33.0,2019-03-21,55052
33.0,2019-03-21,70000
33.0,2019-03-21,70052
33.0,2019-03-21,85000
102.0,2019-03-22,3500
102.0,2019-03-22,3400
102.0,2019-03-22,9612
102.0,2019-03-22,4400
102.0,2019-03-22,6480
102.0,2019-03-22,2300
102.0,2019-03-22,10800
102.0,2019-03-22,14012
102.0,2019-03-22,11276
102.0,2019-03-22,0
102.0,2019-03-23,6800
102.0,2019-03-23,2060
102.0,2019-03-23,13628
102.0,2019-03-23,4900
102.0,2019-03-23,7560
102.0,2019-03-23,8100
102.0,2019-03-23,6304
102.0,2019-03-23,648
102.0,2019-03-23,7776
102.0,2019-03-23,3500
102.0,2019-03-23,4800
216.0,2019-03-24,0
33.0,2019-03-25,0
33.0,2019-03-25,633
33.0,2019-03-25,5224
102.0,2019-03-25,6000
33.0,2019-03-25,0
102.0,2019-03-25,8948
102.0,2019-03-25,7776
102.0,2019-03-25,6480
102.0,2019-03-25,8300
102.0,2019-03-25,8424
102.0,2019-03-26,4500
102.0,2019-03-26,6480
102.0,2019-03-26,4700
33.0,2019-03-26,69732
33.0,2019-03-26,46600
33.0,2019-03-26,58634
33.0,2019-03-26,66432
33.0,2019-03-26,43300
33.0,2019-03-26,55334
33.0,2019-03-26,68643
33.0,2019-03-26,45511
33.0,2019-03-26,57545
33.0,2019-03-26,68643
33.0,2019-03-26,45511
33.0,2019-03-26,57545
33.0,2019-03-26,63986
33.0,2019-03-26,40854
33.0,2019-03-26,52888
33.0,2019-03-26,67576
33.0,2019-03-26,44444
33.0,2019-03-26,56478
33.0,2019-03-26,71987
33.0,2019-03-26,48855
33.0,2019-03-26,60889
102.0,2019-03-26,7560
102.0,2019-03-26,8316
102.0,2019-03-26,6480
260.0,2019-03-26,0
102.0,2019-03-26,0
102.0,2019-03-26,7090
264.0,2019-03-26,10800
264.0,2019-03-26,15900
33.0,2019-03-26,21197
33.0,2019-03-26,23852
102.0,2019-03-27,7560
33.0,2019-03-27,5652
102.0,2019-03-27,8100
102.0,2019-03-27,2700
102.0,2019-03-27,3240
102.0,2019-03-27,8100
102.0,2019-03-27,6480
102.0,2019-03-28,10908
102.0,2019-03-28,7560
102.0,2019-03-28,6280
102.0,2019-03-28,3240
102.0,2019-03-28,6300
102.0,2019-03-28,5980
102.0,2019-03-28,9468
102.0,2019-03-28,6480
273.0,2019-03-28,0
102.0,2019-03-28,8640
271.0,2019-03-28,0
102.0,2019-03-29,9288
102.0,2019-03-29,6480
102.0,2019-03-29,8300
102.0,2019-03-29,6800
102.0,2019-03-29,8300
294.0,2019-03-30,3388
102.0,2019-03-30,5832
102.0,2019-03-30,8640
102.0,2019-03-30,11340
102.0,2019-03-30,6480
102.0,2019-03-30,4900
102.0,2019-03-30,8640
102.0,2019-03-30,8640
102.0,2019-03-30,5780
102.0,2019-03-30,8640
102.0,2019-03-30,2000
102.0,2019-03-30,6912
33.0,2019-03-30,49600
33.0,2019-03-30,49600
33.0,2019-03-30,46600
102.0,2019-03-30,8640
102.0,2019-03-30,3500
102.0,2019-04-01,6480
102.0,2019-04-01,6480
102.0,2019-04-01,6480
102.0,2019-04-01,3300
102.0,2019-04-01,5900
102.0,2019-04-01,18620
102.0,2019-04-01,4400
102.0,2019-04-01,3120
102.0,2019-04-01,6700
102.0,2019-04-01,2160
102.0,2019-04-01,6480
102.0,2019-04-02,2160
102.0,2019-04-02,0
102.0,2019-04-02,4500
102.0,2019-04-02,3500
102.0,2019-04-02,7776
102.0,2019-04-02,6480
102.0,2019-04-02,3500
102.0,2019-04-02,14040
102.0,2019-04-02,4300
102.0,2019-04-02,7560
102.0,2019-04-02,0
102.0,2019-04-03,6380
102.0,2019-04-03,6480
102.0,2019-04-03,5832
102.0,2019-04-03,3440
102.0,2019-04-04,0
102.0,2019-04-04,4580
102.0,2019-04-04,4900
102.0,2019-04-04,7776
102.0,2019-04-04,6912
102.0,2019-04-04,6500
102.0,2019-04-04,7128
102.0,2019-04-04,6448
102.0,2019-04-05,3000
33.0,2019-04-05,8855
33.0,2019-04-05,5555
33.0,2019-04-05,5555
33.0,2019-04-05,885
33.0,2019-04-05,9955
33.0,2019-04-05,5552
102.0,2019-04-05,7560
102.0,2019-04-05,5900
102.0,2019-04-05,7560
102.0,2019-04-05,5832
102.0,2019-04-05,3500
102.0,2019-04-05,8640
102.0,2019-04-05,6480
102.0,2019-04-06,6480
102.0,2019-04-06,8640
102.0,2019-04-06,7560
102.0,2019-04-06,6080
102.0,2019-04-06,972
102.0,2019-04-06,7776
102.0,2019-04-06,3000
102.0,2019-04-06,3300
102.0,2019-04-06,3000
102.0,2019-04-06,8300
102.0,2019-04-06,0
102.0,2019-04-06,6800
102.0,2019-04-06,8640
102.0,2019-04-06,4900
33.0,2019-04-08,0
102.0,2019-04-08,0
102.0,2019-04-08,3500
102.0,2019-04-08,8640
102.0,2019-04-08,4400
102.0,2019-04-08,7776
102.0,2019-04-08,5836
102.0,2019-04-08,4760
102.0,2019-04-08,5300
102.0,2019-04-08,3500
102.0,2019-04-08,7884
102.0,2019-04-09,6600
102.0,2019-04-09,8208
102.0,2019-04-09,3500
360.0,2019-04-09,86403
102.0,2019-04-09,0
102.0,2019-04-09,7700
102.0,2019-04-09,5832
102.0,2019-04-09,6912
102.0,2019-04-09,6912
102.0,2019-04-09,8640
102.0,2019-04-10,6480
102.0,2019-04-10,8640
102.0,2019-04-10,8000
102.0,2019-04-10,9288
362.0,2019-04-11,108640
102.0,2019-04-11,3500
102.0,2019-04-11,4900
102.0,2019-04-11,3780
102.0,2019-04-11,6480
102.0,2019-04-11,8640
102.0,2019-04-11,7200
102.0,2019-04-11,8300
102.0,2019-04-11,7560
102.0,2019-04-11,4320
102.0,2019-04-11,7776
102.0,2019-04-11,14040
102.0,2019-04-12,8640
102.0,2019-04-12,6800
102.0,2019-04-13,8640
102.0,2019-04-13,8000
102.0,2019-04-13,7776
102.0,2019-04-13,7776
102.0,2019-04-13,7884
102.0,2019-04-13,6800
102.0,2019-04-13,10800
102.0,2019-04-13,6800
102.0,2019-04-13,14240
368.0,2019-04-15,0
102.0,2019-04-15,7140
102.0,2019-04-15,6480
102.0,2019-04-15,2500
102.0,2019-04-15,8748
102.0,2019-04-15,7140
102.0,2019-04-15,6700
102.0,2019-04-15,9288
102.0,2019-04-15,4320
102.0,2019-04-16,0
102.0,2019-04-16,5400
102.0,2019-04-16,8640
102.0,2019-04-16,6800
102.0,2019-04-16,7560
102.0,2019-04-16,6380
102.0,2019-04-16,24840
102.0,2019-04-17,6480
102.0,2019-04-17,6800
102.0,2019-04-17,6480
102.0,2019-04-17,5280
102.0,2019-04-17,7430
102.0,2019-04-18,5832
102.0,2019-04-18,6300
102.0,2019-04-18,6480
102.0,2019-04-18,7124
102.0,2019-04-18,6480
102.0,2019-04-19,5448
102.0,2019-04-19,5832
102.0,2019-04-19,8640
102.0,2019-04-19,6732
102.0,2019-04-19,7256
102.0,2019-04-19,6480
102.0,2019-04-19,5800
102.0,2019-04-19,0
102.0,2019-04-20,8316
102.0,2019-04-20,5800
102.0,2019-04-20,8696
102.0,2019-04-20,2484
102.0,2019-04-20,7236
102.0,2019-04-20,7776
102.0,2019-04-20,4400
102.0,2019-04-20,7776
102.0,2019-04-20,8640
102.0,2019-04-22,8416
102.0,2019-04-22,7128
102.0,2019-04-22,8208
102.0,2019-04-22,6600
102.0,2019-04-22,9180
102.0,2019-04-22,7452
102.0,2019-04-22,7560
102.0,2019-04-22,0
102.0,2019-04-23,8964
102.0,2019-04-23,8640
102.0,2019-04-23,10800
102.0,2019-04-23,8640
102.0,2019-04-23,6600
102.0,2019-04-23,8640
102.0,2019-04-23,6800
102.0,2019-04-23,6480
102.0,2019-04-23,8640
102.0,2019-04-24,7776
102.0,2019-04-24,6480
102.0,2019-04-24,7776
102.0,2019-04-24,7776
102.0,2019-04-24,8640
102.0,2019-04-24,7560
102.0,2019-04-24,7776
102.0,2019-04-24,6372
102.0,2019-04-24,6480
102.0,2019-04-24,8640
102.0,2019-04-24,6804
33.0,2019-04-24,232
33.0,2019-04-24,4324
33.0,2019-04-24,8888
102.0,2019-04-25,4960
102.0,2019-04-25,12442
102.0,2019-04-25,6480
102.0,2019-04-25,6600
102.0,2019-04-26,5832
102.0,2019-04-26,7128
102.0,2019-04-26,6480
102.0,2019-04-26,0
102.0,2019-04-26,6480
102.0,2019-04-26,8300
102.0,2019-04-27,6300
102.0,2019-04-27,13480
102.0,2019-04-27,5832
102.0,2019-04-27,8856
102.0,2019-04-27,6480
102.0,2019-04-27,8640
102.0,2019-04-27,7776
102.0,2019-04-27,5832
102.0,2019-04-27,8640
102.0,2019-04-28,8640
102.0,2019-04-28,5800
102.0,2019-04-28,4800
102.0,2019-04-28,1460
102.0,2019-04-28,6480
102.0,2019-04-28,7200
102.0,2019-04-28,0
102.0,2019-04-28,8624
102.0,2019-04-28,8000
102.0,2019-04-28,6600
102.0,2019-04-28,5800
102.0,2019-04-29,7684
102.0,2019-04-29,6004
102.0,2019-04-29,6004
102.0,2019-04-29,4800
102.0,2019-04-29,6080
102.0,2019-04-29,8640
102.0,2019-04-29,3040
102.0,2019-04-29,11060
102.0,2019-04-29,6480
102.0,2019-04-29,6480
102.0,2019-04-29,7560
102.0,2019-04-29,8640
102.0,2019-05-03,6480
102.0,2019-05-03,7560
122.0,2019-05-03,0
253.0,2019-05-03,0
102.0,2019-05-03,8640
102.0,2019-05-03,0
102.0,2019-05-03,0
102.0,2019-05-03,4700
102.0,2019-05-03,8000
102.0,2019-05-03,6800
102.0,2019-05-03,8640
102.0,2019-05-03,8300
102.0,2019-05-04,756
102.0,2019-05-04,7200
102.0,2019-05-04,3500
102.0,2019-05-04,6300
102.0,2019-05-04,7776
102.0,2019-05-04,6480
102.0,2019-05-04,8424
102.0,2019-05-04,6800
102.0,2019-05-05,4800
102.0,2019-05-05,5184
102.0,2019-05-05,7124
102.0,2019-05-05,10824
102.0,2019-05-05,11580
102.0,2019-05-06,4300
102.0,2019-05-06,8300
